URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,,DICOM Controlled Terminology Definitions,,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/dicm-405-mediatype,ValueSet/audit-event-sub-type,ValueSet/security-role-type,ValueSet/audit-event-type"
http://hl7.org/fhir/action-cardinality-behavior,3.0.2,draft,"2.16.840.1.113883.4.642.1.791",ActionCardinalityBehavior,,"Defines behavior for an action or a group for how many times that item may be repeated","ValueSet/action-cardinality-behavior"
http://hl7.org/fhir/action-condition-kind,3.0.2,draft,"2.16.840.1.113883.4.642.1.799",ActionConditionKind,,"Defines the kinds of conditions that can appear on actions","ValueSet/action-condition-kind"
http://hl7.org/fhir/action-grouping-behavior,3.0.2,draft,"2.16.840.1.113883.4.642.1.783",ActionGroupingBehavior,,"Defines organization behavior of a group","ValueSet/action-grouping-behavior"
http://hl7.org/fhir/action-participant-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.795",ActionParticipantType,,"The type of participant for the action","ValueSet/action-participant-type"
http://hl7.org/fhir/action-precheck-behavior,3.0.2,draft,"2.16.840.1.113883.4.642.1.789",ActionPrecheckBehavior,,"Defines selection frequency behavior for an action or group","ValueSet/action-precheck-behavior"
http://hl7.org/fhir/action-relationship-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.797",ActionRelationshipType,,"Defines the types of relationships between actions","ValueSet/action-relationship-type"
http://hl7.org/fhir/action-required-behavior,3.0.2,draft,"2.16.840.1.113883.4.642.1.787",ActionRequiredBehavior,,"Defines requiredness behavior for selecting an action or an action group","ValueSet/action-required-behavior"
http://hl7.org/fhir/action-selection-behavior,3.0.2,draft,"2.16.840.1.113883.4.642.1.785",ActionSelectionBehavior,,"Defines selection behavior of a group","ValueSet/action-selection-behavior"
http://hl7.org/fhir/action-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.793",ActionType,,"The type of action to be performed","ValueSet/action-type"
http://hl7.org/fhir/administrative-gender,3.0.2,draft,"2.16.840.1.113883.4.642.1.2",AdministrativeGender,,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-clinical-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.118",AllergyIntoleranceClinicalStatus,,"The clinical status of the allergy or intolerance.","ValueSet/allergy-clinical-status"
http://hl7.org/fhir/allergy-intolerance-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.124",AllergyIntoleranceCategory,,"Category of an identified substance.","ValueSet/allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,3.0.2,draft,"2.16.840.1.113883.4.642.1.120",AllergyIntoleranceCriticality,,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/allergy-intolerance-criticality"
