Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/zorgviewer-ig.json	24438	-	0	0	0	0	0	0	1	369	0	0	0	0	0	0	0	1	0	0	34	43	0	0	0	3	0	0
input/capabilities/CapabilityStatement-Adressering.json	2144	6	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18	35	0	0	0	1	0	0
input/capabilities/CapabilityStatement-Behandelplan.json	1487	4	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
input/capabilities/CapabilityStatement-Logging.json	1658	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	1	0	1
input/capabilities/CapabilityStatement-OntsluitenBronsysteem.json	11382	7	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	47	35	0	1	0	1	0	0
input/capabilities/CapabilityStatement-Terminologie.json	1651	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
input/capabilities/CapabilityStatement-Toestemming.json	2844	4	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	1	0	0
input/capabilities/CapabilityStatement-ZorgverlenerDirectory.json	2228	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
input/capabilities/CapabilityStatement-ZorgviewerHost.json	3945	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	21	17	0	0	0	1	0	0
input/examples/AdvanceDirective-Chipsoft.json	1337	2	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
input/examples/AdvanceDirective-Epic.json	1969	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
input/examples/AdvanceDirective-Nexus.json	2201	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
input/examples/AdvanceDirective2-Epic.json	2031	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
input/examples/AllergyIntolerance-Chipsoft.json	4091	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0
input/examples/AllergyIntolerance-Epic.json	877	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
input/examples/AllergyIntolerance-Nexus.json	4628	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0
input/examples/AuditEvent-Zorgviewer.json	1291	2	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
input/examples/Condition-Chipsoft.json	4407	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
input/examples/Condition-Epic-note.json	2824	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
input/examples/Condition-Epic.json	1589	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
input/examples/Condition-Nexus.json	4161	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
input/examples/DocumentReference-Chipsoft.json	4279	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
input/examples/DocumentReference-Epic.json	2604	2	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
input/examples/Flag-Chipsoft-OTH.json	40953	10	35	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	31	44	0	0	0	0	0	1
input/examples/Flag-Chipsoft.json	1418	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/examples/Flag-Epic.json	1357	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/examples/Flag-Nexus.json	2696	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
input/examples/Immunization-Chipsoft.json	2625	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
input/examples/Immunization-Epic.json	821	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
input/examples/Immunization-Epic2.json	1062	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
input/examples/Immunization-Epic3.json	2600	2	0	0	1	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
input/examples/Immunization-Nexus.json	2732	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
